customer_id,name,email,signup_date,last_purchase_date,age,location,loyalty_score,churn
26,Sandy Vincent,tiffanyevans@example.com,2024-04-28,2023-11-21,40,East Aliceberg,0.2585106823969847,0
27,Jennifer Willis,plove@example.org,2022-12-07,2024-01-07,32,South Fernandoton,0.4019377299792186,0
28,William Hudson,yvette72@example.net,2022-08-15,2024-02-29,68,Port Emily,0.47387574484625106,1
29,Mr. Justin Miller,xturner@example.com,2022-11-21,2023-10-30,38,Mahoneyport,0.005831945478375067,0
30,Hannah Dudley,orrstephen@example.com,2024-05-09,2023-10-20,53,Jeffreyburgh,0.8576062722401067,1
31,Robin Frye,rsantiago@example.com,2023-07-04,2023-07-06,19,Richardville,0.6202734732670708,1
32,Brittany Long,vhayes@example.net,2023-12-15,2024-04-14,62,Robertsonland,0.09873262282676498,0
33,Brittany Brady,fhicks@example.net,2023-07-15,2024-03-15,19,New Kyleshire,0.4703471749725462,1
34,Gina Farley,kennedykelly@example.org,2022-06-29,2023-09-18,46,South Lindafort,0.7937239832793468,1
35,Joshua Thomas,lori06@example.net,2022-07-02,2023-07-11,38,Matthewton,0.4441975068828675,0
36,April Mccall,bartonsamuel@example.org,2024-05-06,2023-10-22,31,Port David,0.7512378823416581,0
37,Erika Nelson,natalie51@example.com,2023-06-08,2024-03-09,57,Maureenberg,0.10887676172374172,0
38,Ryan Hinton,graymichael@example.net,2022-12-30,2023-07-28,23,Newmanhaven,0.6806358511513239,1
39,Angel Richards,nicoleedwards@example.org,2023-03-16,2023-10-09,61,Dunnfurt,0.9139200664614313,0
40,Mrs. Deborah Franklin,coryfigueroa@example.com,2023-07-06,2024-05-30,64,Kristinchester,0.24496804194498312,0
41,Sherry White,fmurphy@example.net,2023-07-23,2024-01-16,56,New Ronaldfurt,0.08128544171827623,1
42,Chelsea Keith,vanessa96@example.org,2023-11-03,2024-03-25,30,Jenniferhaven,0.3318734623867723,0
43,Jessica Brooks,hendrickselizabeth@example.net,2024-02-29,2023-11-10,21,Whiteton,0.9209785191213505,1
44,Eric Taylor,waynesanders@example.com,2022-09-14,2023-10-16,67,Port Suzanne,0.559497351244993,0
45,Christina Sparks,jriddle@example.com,2023-12-26,2024-04-21,24,Bennettbury,0.6254099121166364,1
46,Hannah Robinson,benjamin81@example.net,2023-07-22,2023-09-24,47,Maryville,0.9524238610543885,0
47,Jessica Coleman,jennifer32@example.org,2024-04-17,2024-02-12,29,Patelville,0.455782499447953,0
48,Helen Hancock,vmccormick@example.com,2024-02-17,2024-05-21,50,Andrewview,0.5463612097356068,0
49,Donna Martinez,lisaporter@example.com,2022-08-21,2024-01-12,47,Josephland,0.8387859414218751,0
50,Jacqueline Duncan,stevenskelsey@example.org,2022-09-28,2024-04-12,18,Taylorchester,0.8239623151080874,0
51,Tara Young,zjoseph@example.net,2024-03-26,2023-09-14,67,Colemanhaven,0.013193802307383984,0
52,Erika Hines,woodlauren@example.org,2023-10-09,2024-01-19,30,West Jacquelineport,0.3305201651615546,0
53,Daniel Davis,vanessarodriguez@example.com,2023-05-11,2023-11-02,18,Jamesberg,0.6508790286639639,0
54,Jason Weaver,carrienorris@example.org,2023-05-30,2024-04-28,58,Joannabury,0.33663024720631196,0
55,Bruce Mckinney,hnash@example.org,2023-02-11,2024-04-29,44,Melissaburgh,0.7972932867613028,0
56,Patrick Roberts,gallowaywilliam@example.net,2024-01-27,2024-01-24,70,North Melissa,0.6831384147482825,0
57,Bridget Li,sharon04@example.net,2023-05-21,2024-06-09,30,Kellerchester,0.730975714422079,1
58,David Logan,tjackson@example.org,2024-01-05,2023-07-28,69,Williamshire,0.7067360076706402,0
59,Melissa Miller,anichols@example.net,2023-03-16,2023-11-05,55,Hernandezbury,0.8613622108796374,0
60,Erin Jones,dianawhite@example.com,2024-04-27,2023-06-17,39,Tammyville,0.47629197515066424,1
61,Madeline Osborne,ricky08@example.net,2023-05-04,2024-03-29,54,Johnville,0.6103344334609919,1
62,Katrina Mccormick,palmerbenjamin@example.org,2023-06-28,2024-01-26,54,West Hannah,0.8820245191460452,1
63,Joshua Glover,deanphillips@example.org,2022-07-28,2023-12-09,63,New Anthonyborough,0.27405387960318317,0
64,Mary Wheeler,sotoashley@example.com,2022-11-16,2023-10-03,33,Port Monicaport,0.4811852528998104,1
65,Matthew Tucker,hughesheather@example.org,2022-11-23,2023-08-04,18,South Alexis,0.3166118706533787,0
66,Nathan Martinez,vschultz@example.org,2022-09-01,2024-04-21,31,Ruizmouth,0.5248395750846133,0
67,Mallory Smith,jason17@example.org,2023-12-12,2024-03-20,29,Kellyborough,0.04512106655773551,0
68,Christine Berry,bradyblack@example.com,2023-01-30,2024-03-26,58,Port James,0.5594880676479325,0
69,Alison Dalton,nancypena@example.com,2023-04-19,2023-10-11,20,New Russellmouth,0.561553673667849,0
70,Danielle Miller,diazerin@example.org,2023-04-21,2024-06-09,20,North Colleenfurt,0.8899915414000261,0
71,Clinton Baker,akennedy@example.org,2023-08-10,2024-03-22,31,South Kyle,0.4149935576617312,0
72,David Edwards,sonya08@example.org,2023-02-02,2024-02-05,62,Port Timothy,0.1363793119581318,0
73,Bryan Parker,qcooper@example.net,2023-04-19,2023-10-15,59,East Anna,0.890665973789551,0
74,Larry Kelley,ryangomez@example.com,2024-02-27,2023-08-02,63,Hendersonshire,0.18693309757389187,0
75,David Blevins,garysimmons@example.org,2024-05-07,2024-02-25,63,Lake Kenneth,0.9975600476842565,1
76,Michael Wallace,masonkathryn@example.com,2022-11-23,2023-09-27,58,Rebeccaport,0.9477900533520773,0
77,Heather Davidson,christopher51@example.com,2023-12-22,2023-08-27,27,East Douglasview,0.2146863381559394,0
78,Rhonda Howard,phughes@example.com,2023-12-11,2024-06-13,69,Scottberg,0.29785447286169997,1
79,Alyssa Smith,brentarnold@example.com,2022-12-14,2024-03-24,42,Lake Heatherchester,0.5031158571084257,0
80,Teresa Orozco,theresa51@example.com,2023-07-29,2023-10-18,38,West Michael,0.7197011234292892,0
81,Timothy Durham,saunderssharon@example.org,2023-01-05,2024-01-29,69,New Kenneth,0.4420695911004412,0
82,Kimberly Parker,tstewart@example.com,2022-07-31,2023-06-19,32,Cervantesville,0.366933842509949,0
83,Lisa Charles,eduardo76@example.net,2023-05-07,2023-12-30,37,West Michaelfort,0.5674372396856694,0
84,Jenna Reed MD,jessicagoodwin@example.org,2024-04-06,2023-10-01,23,Perkinsmouth,0.28135949955870276,1
85,James Perry,castillodenise@example.net,2022-09-27,2023-12-14,24,South Breannaville,0.01126692929402584,0
86,Amanda Martinez,evan86@example.org,2023-07-04,2023-06-16,62,South Leonardtown,0.5504609496068044,1
87,April Brown,xrodriguez@example.org,2022-11-11,2023-11-13,43,West Michele,0.6144941011463896,0
88,Scott Scott,moorealex@example.org,2023-05-19,2023-08-18,32,Davenportton,0.3417984340023057,1
89,Carrie Wyatt,mwhite@example.net,2023-03-21,2023-07-15,60,Michaelton,0.7066141126186833,0
90,John Perez,katherinelee@example.net,2022-09-05,2024-01-25,49,Jordanville,0.9099244745201029,0
91,Melinda Clark,derek92@example.net,2024-01-22,2023-10-09,21,Brianside,0.5408469246942685,0
92,Michael Keller,zsanchez@example.org,2023-07-13,2023-11-01,50,East Suzanne,0.570820879619826,0
93,Todd Nguyen,michaelgriffin@example.com,2022-09-11,2023-10-03,57,Hoffmanberg,0.2278298212814729,0
94,James Price,robertsmichael@example.org,2022-12-16,2024-05-12,21,East Jessica,0.4116593870652262,1
95,Thomas Ritter Jr.,campbellsarah@example.com,2023-10-26,2023-10-19,32,West Fred,0.44704160981942054,1
96,James Hubbard,pcarlson@example.net,2022-06-30,2024-06-08,47,West Steven,0.43200449333809077,0
97,Sue Gutierrez,bensonandrew@example.net,2024-02-01,2024-04-03,27,New Kimberlyport,0.9776773128994919,0
98,Joshua Simmons,kfloyd@example.net,2022-12-16,2024-04-30,59,Ronaldborough,0.4838373389644052,0
99,Joshua Norris,hansondenise@example.org,2023-12-14,2023-07-06,68,Mariebury,0.5743269040563239,0
100,Patrick Williams,annaboyle@example.org,2023-12-24,2024-05-16,42,Port Kevin,0.2518489320500267,1
101,Tiffany Williams,lford@example.org,2024-06-01,2023-08-22,68,New Kyle,0.5651856657923402,0
102,Tracy Kelly,justin49@example.com,2023-11-13,2024-02-23,31,Hicksbury,0.062201896056682804,0
103,Samantha Armstrong,nicholasskinner@example.org,2022-11-22,2024-04-24,25,West Angela,0.5951150456806832,0
104,Angela Owen,lorraine00@example.net,2022-11-05,2023-10-16,36,Port Mary,0.49030346155395876,0
105,Kevin Ray,flawson@example.org,2024-01-25,2023-09-17,43,Port Danny,0.9843067377919842,1
106,Christopher Goodman,sara15@example.com,2024-01-25,2023-10-19,25,Port Feliciaberg,0.24592884252536606,1
107,Marie Esparza,lwhitehead@example.com,2023-04-30,2023-09-26,18,Port Sarah,0.7747981559381957,1
108,Virginia Lopez,emilyevans@example.org,2023-10-27,2023-10-14,22,West Charlesmouth,0.23780531663771376,0
109,Jessica Rodriguez,lorrainelewis@example.org,2023-12-26,2023-08-18,70,South Travis,0.05316055815267773,0
110,Michelle Garcia,andersoneric@example.org,2023-10-24,2024-02-16,46,Andrewsmouth,0.5678227994481396,0
111,Michelle Grant,janet74@example.com,2023-10-29,2024-05-31,20,Parkertown,0.5266392761531985,0
112,William Lucas,laurapatterson@example.org,2022-12-20,2024-06-07,34,West Ashleyville,0.08519611771017244,1
113,Alexandria Thomas,brandon08@example.net,2022-09-30,2024-02-13,34,Christinaport,0.3628724361671073,0
114,Ashley Smith,whiteelizabeth@example.net,2024-03-07,2023-08-22,51,Staceymouth,0.7219370697798521,0
115,Mr. Marcus Arellano II,travisjose@example.net,2023-06-12,2023-10-09,29,East Zacharymouth,0.15040969898192047,1
116,Miranda Robertson,powerssarah@example.net,2023-12-18,2023-08-19,23,Jamesbury,0.1997168677544735,0
117,Dustin Matthews,joseph99@example.com,2024-01-18,2024-05-12,35,Matthewshaven,0.4216770758492825,0
118,Mrs. Sandra Mayo,ychandler@example.net,2023-07-04,2023-11-12,26,West Robert,0.6660805231631742,0
119,Jennifer Patterson,jennifer88@example.org,2023-04-28,2023-09-03,48,East Jefferyport,0.5225448872363195,0
120,Lisa Jenkins,peterjohnson@example.com,2022-12-29,2023-08-01,56,Kendrabury,0.6282645079846132,0
121,Tonya Jackson,hholmes@example.org,2023-11-20,2023-10-13,24,Dawnport,0.41030229990322753,1
122,Samuel Barker,qwatkins@example.com,2024-04-08,2023-11-20,64,South Paulaport,0.9280707204198878,0
123,Maria Mills,onelson@example.org,2022-10-19,2024-03-26,45,Lake Wesley,0.7999385853270993,0
124,Amanda Myers,jasonpadilla@example.net,2022-10-02,2023-08-24,68,Lake Julie,0.551681139335049,0
125,Robert Krause,morgan64@example.org,2023-11-18,2023-06-29,18,Edwardsborough,0.40665254050100563,0
126,Ryan Ochoa,erica96@example.net,2024-04-29,2024-04-28,45,Port Mikayla,0.17413470823024668,0
127,Jessica Smith,gloriagonzales@example.com,2024-02-26,2024-03-22,37,Loweport,0.0957426225085305,1
128,Johnny Rodriguez,kevin98@example.net,2023-05-28,2023-06-29,62,East Nicole,0.45811263079622777,0
129,Christina Dorsey,fjohnson@example.net,2023-12-17,2023-08-10,36,Hudsonton,0.4145731007490282,0
130,Edward Brewer,susan44@example.net,2023-01-25,2023-10-08,26,West Traciside,0.4686382512633097,0
131,Jose Wilson,amypark@example.net,2022-12-15,2023-10-10,58,North Alexandriamouth,0.7973041681616899,0
132,Penny Gordon,kperry@example.org,2022-10-10,2024-04-25,28,Port Kevinbury,0.07841947368465407,1
133,David Garner,benjamin17@example.org,2022-09-01,2024-04-13,37,North Joshuastad,0.9333788139201832,0
134,Eric Wright,matthew75@example.com,2023-08-13,2023-07-25,29,North Alishabury,0.10705327440926327,1
135,Lindsey Fernandez,gordon84@example.com,2023-07-11,2023-11-19,23,Eddieton,0.743703529928916,1
136,Erik Moran,lopezmegan@example.org,2022-07-26,2023-12-10,53,Smithside,0.06773424434494657,0
137,Amy Wade,robinsonheather@example.com,2023-01-28,2023-10-14,64,Lake Julie,0.3663550665455496,0
138,Noah Sanchez,ylin@example.com,2022-12-14,2023-11-24,57,West Angela,0.41041036873772874,0
139,Jeffrey Schwartz,averytaylor@example.net,2022-10-13,2024-04-22,44,Heatherfort,0.787674218682271,0
140,Mark Porter,nicole85@example.org,2024-04-07,2024-02-04,21,Richardside,0.603841180228048,1
141,Dana Morales,iclark@example.net,2023-06-07,2024-06-04,25,Lopezchester,0.8886143779667635,0
142,Andrew Hogan,judy07@example.org,2022-08-20,2023-07-02,30,Hopkinshaven,0.7382643247312425,0
143,Christopher Munoz,michael14@example.net,2023-05-28,2023-10-02,43,Mejiaside,0.44881537006494177,0
144,Amanda Schneider,jlee@example.org,2023-07-27,2024-02-05,60,West Benjamin,0.5933965549134673,1
145,Kaitlyn Young,rbean@example.org,2024-04-09,2023-07-16,62,Moniqueshire,0.669348408180117,1
146,Susan Graves,coxlisa@example.org,2024-06-07,2023-08-10,64,West Donald,0.2582331959268045,0
147,George Wong,wacosta@example.net,2022-11-18,2023-11-12,33,East Andrewberg,0.7587118927890544,0
148,Alice Barnes,rortiz@example.com,2023-02-16,2024-05-15,67,Nelsonmouth,0.9639905349041388,0
149,Amanda Adams,dianeadams@example.net,2022-06-17,2023-11-25,68,Lake Madelineborough,0.5555315067565691,0
150,Mario Hunter,silvagrace@example.net,2023-06-30,2024-04-07,51,New Kristintown,0.6607067058844484,0
151,Shannon Fisher,larrychavez@example.org,2024-04-25,2023-08-23,40,Parkerville,0.29251716857071974,0
152,Charles Ramos,wwhite@example.net,2022-06-21,2023-07-11,23,Jenniferhaven,0.3530162860481987,0
153,Adam Miller,stephanieortiz@example.net,2024-03-17,2023-12-25,55,Jennifermouth,0.6733938999711753,0
154,Robert Reyes,marymorgan@example.org,2023-07-04,2024-06-09,49,East Carlton,0.89086617128637,0
155,Ian Rubio,jonesrebecca@example.com,2023-10-27,2024-03-15,52,North Betty,0.7878465513014755,0
156,Jon Gonzalez,cindygonzalez@example.net,2023-06-06,2024-05-23,19,Mariaside,0.7195457755467337,0
157,Samantha Fowler,ronald85@example.net,2023-07-02,2023-09-18,44,Williamston,0.3182716462297972,0
158,Kevin Keller,tinarice@example.com,2023-04-08,2024-03-09,58,Janeburgh,0.08444801108694855,0
159,Molly James,marshalljoanne@example.net,2022-11-01,2023-09-29,35,Angelashire,0.2727442129879726,0
160,Bobby Romero,barbara77@example.com,2024-05-18,2023-07-03,36,Jennaville,0.8498593026407488,0
161,Jason Henderson,ashleyflores@example.com,2022-07-04,2024-06-14,65,New Michaelmouth,0.4903617629559641,0
162,Johnny Martinez,danielle06@example.org,2023-09-22,2023-09-26,26,South Matthew,0.5146361580250969,0
163,Lindsey Lozano,destinywatts@example.net,2022-12-31,2023-06-17,69,Port Brianburgh,0.3797990499637427,0
164,Jerry Wells,wlamb@example.com,2024-04-11,2023-12-22,49,South Brooke,0.8755199070882268,0
165,Steven Buckley,henrypacheco@example.com,2023-04-10,2024-06-05,48,Douglasbury,0.38979242110780743,0
166,Laura Werner,peterferguson@example.com,2022-08-31,2024-03-05,50,West Theresamouth,0.20666315584903172,0
167,Kristina Wilson,ysolis@example.com,2023-10-08,2024-05-09,39,North Ashleyfurt,0.4397614420671987,0
168,Paul Young,brenda38@example.com,2024-02-16,2023-09-23,53,New James,0.2532623140792929,0
169,Heather Landry,aroberts@example.net,2023-09-15,2023-10-30,56,Elizabethstad,0.2838587778220629,0
170,Andrew Williams,paul32@example.org,2022-10-01,2024-02-03,54,New Rebecca,0.9995232969908115,1
171,Tamara Fleming,carl19@example.net,2024-01-10,2023-11-27,19,West Lori,0.8044236390997654,0
172,Deborah Ray,lrussell@example.net,2023-09-09,2023-10-31,47,Robertview,0.14720573926654068,0
173,Amanda Nunez,macdonaldjeffrey@example.com,2022-12-28,2024-03-20,30,North Lucas,0.8956258661260218,0
174,Alice Simon,kristinsmith@example.com,2022-09-28,2024-03-26,69,North Taraberg,0.5784161139817356,0
175,Rebecca Robinson,lwalsh@example.org,2023-04-23,2023-10-20,48,South Teresa,0.8211626382955944,1
176,Patricia Chandler,johnsonkeith@example.com,2022-10-18,2024-01-23,62,West Sara,0.021140763135857,0
177,Melissa Case,ericcook@example.com,2023-07-02,2023-07-17,37,Jameshaven,0.5763847354033625,0
178,Pamela Gonzales,briangregory@example.org,2022-12-27,2024-03-23,49,Manningberg,0.5668219339328605,0
179,Sara Howard,shannon58@example.net,2023-10-26,2023-06-16,68,West Michelle,0.6080499623892284,1
180,Heather Owens,owhite@example.com,2024-05-09,2023-08-24,30,South Keithview,0.5065187324215469,0
181,Bethany Jones,lindsey68@example.com,2022-08-20,2023-11-25,22,West Ericburgh,0.40184017504488345,0
182,Alexa Miller,sarah74@example.com,2022-12-04,2023-09-14,30,Port Walter,0.06454627699552418,1
183,Joseph Contreras,julia97@example.com,2023-04-06,2023-07-25,29,Toddburgh,0.13266358880008122,0
184,Taylor Watson,williamsamy@example.com,2022-09-06,2023-11-01,33,Eatonmouth,0.5779047055570671,1
185,Victor Castillo DDS,madams@example.com,2023-05-30,2024-05-12,55,Blackchester,0.8205863343964989,0
186,Frederick Ortega,brooksdaniel@example.net,2022-11-14,2023-09-11,57,New Davidstad,0.36981177706659285,0
187,Paula Holder,alex87@example.net,2023-08-16,2024-04-27,58,Stevensland,0.5054429826325261,0
188,Zachary Gallagher,smithalyssa@example.net,2023-11-01,2023-07-29,31,East Carriefurt,0.6162781838173967,1
189,Carl Ward,gwendolynkane@example.com,2024-03-18,2023-07-13,35,Jessicafurt,0.3483996751027204,0
190,Don Barron,qgallegos@example.com,2024-05-30,2024-02-02,57,Millerstad,0.5502088462787554,0
191,Christina Gray,bobbyjones@example.net,2023-12-15,2024-05-31,47,North Jessica,0.09068077112992756,0
192,Ryan Duarte,clewis@example.com,2023-03-31,2024-01-25,25,South Barbara,0.7596753627314499,0
193,Robert Porter,vaughnvictoria@example.com,2024-04-07,2023-12-24,30,South Sandy,0.05156086740341881,0
194,Jessica Lopez,patriciataylor@example.com,2024-03-06,2024-01-29,47,Lake Carl,0.8712908367640224,1
195,David Garcia,mendezbrandon@example.org,2024-01-16,2024-05-08,50,West Jaredside,0.8825328698232002,0
196,Peter Green,heather99@example.com,2024-06-09,2024-04-06,63,West Richard,0.9321299171826276,0
197,Alexandra Watson,nwyatt@example.com,2023-05-20,2023-06-23,64,Hartmanmouth,0.1374592560778899,0
198,John Burke,dyerjennifer@example.com,2022-07-04,2024-03-24,63,East Lauratown,0.5693368755670752,0
199,Christie Rogers,cohenbrianna@example.org,2022-11-28,2023-06-24,56,Port Eddie,0.9253976954223557,1
200,Debra Garcia,adrian40@example.org,2023-12-03,2023-11-04,48,Thomaschester,0.38065729503970047,0
201,Anthony Gilbert,dudleykayla@example.org,2023-08-05,2023-08-26,23,Craneview,0.6321556576375156,0
202,Hunter Jones Jr.,nicholsrhonda@example.net,2023-03-30,2024-01-18,23,Rebeccabury,0.5235264469706586,1
203,Danny Cross MD,aaron67@example.org,2024-03-03,2024-03-04,66,Ashleybury,0.884625892476667,0
204,Judith Jackson,robertnguyen@example.com,2023-09-15,2024-03-12,21,East Timothymouth,0.341452899727546,0
205,Darrell Rosario,cynthiasmith@example.org,2024-03-30,2024-03-03,22,Craigborough,0.6872636379676257,0
206,Kayla Hubbard,amybell@example.net,2023-11-17,2023-07-12,31,South Stacey,0.48964761933961654,1
207,Allison Adams,jonathan31@example.net,2022-09-20,2023-12-31,19,Cynthiatown,0.8491550685682459,0
208,Angela Kelly,tamarahensley@example.org,2024-05-16,2024-02-18,60,Port Brooketown,0.16303415390206233,0
209,Michael Macias,danielbyrd@example.net,2023-06-14,2024-01-01,35,West Jennifer,0.5528841598245277,0
210,Jessica Elliott,donna41@example.net,2024-03-19,2024-03-28,47,East Nancy,0.03516473880790938,0
211,Crystal Gaines,kennethberry@example.org,2023-10-27,2024-06-03,40,East Kristina,0.895379391790012,0
212,Kimberly Jackson,william41@example.com,2023-06-19,2023-11-23,66,Nicholsfurt,0.042221305017395516,0
213,Lauren Thomas,edwinsanchez@example.com,2023-03-02,2024-03-13,27,West Dennisland,0.7452321686535943,0
214,Anthony Wise,olivia52@example.net,2022-07-06,2024-04-18,68,Lake Pamelabury,0.6729660271736612,0
215,Tara Rogers,millerkayla@example.org,2023-04-15,2024-04-01,24,Hoffmanview,0.778475977555553,1
216,Dawn Singh,shirley05@example.com,2023-03-13,2024-05-01,31,Robertborough,0.49251113823085413,0
217,Sarah Turner,pgonzales@example.org,2024-01-16,2024-02-12,23,East Pamelaside,0.5854251513615876,0
218,Kevin Mcclain,jessica86@example.org,2022-09-03,2023-07-18,60,West Wesleyfort,0.5459483423556499,0
219,Thomas Adams,lauraneal@example.net,2024-03-04,2023-09-11,32,Lake Pamelaview,0.5593433634729136,0
220,Lisa Mullen,christophermcdonald@example.net,2023-10-07,2023-10-21,18,South Steven,0.8021383903205535,0
221,Whitney Padilla,hicksdave@example.org,2023-01-24,2024-05-11,31,Port Sally,0.8693826876964299,0
222,Alex Brown,mjohnson@example.net,2024-01-17,2024-04-16,18,Thomasview,0.6942442322871089,0
223,Troy Vincent,joshuawood@example.org,2023-03-18,2024-06-08,45,Millerside,0.07279343915428416,0
224,Mary Carter,msilva@example.org,2023-04-29,2023-10-10,39,South Sarah,0.9282796013565265,0
225,Christopher Jacobs,cindywallace@example.com,2024-04-06,2023-10-03,68,East Jeffreymouth,0.07585841076183464,1
226,Diana Lynch,jjohnson@example.com,2024-02-05,2023-08-27,70,North Shannonfort,0.5977381549371373,0
227,Eric Johnson,andrea97@example.net,2024-06-08,2023-11-20,32,Hectortown,0.36706685300043396,0
228,Jennifer Reed,leah37@example.org,2022-11-13,2023-07-10,59,North Monicaland,0.2013048914385852,0
229,Jose Carpenter,aliciamorales@example.org,2022-07-09,2023-09-20,66,South Jamesfurt,0.616705170247293,0
230,Caitlyn George,lisakaiser@example.net,2023-06-12,2024-02-18,54,Lake Shelia,0.5321255997381482,1
231,Mark Davis,bryan26@example.com,2024-01-22,2023-12-04,58,Port Virginia,0.4175028179279572,0
232,Jacqueline Miranda,tcameron@example.net,2022-07-21,2023-08-17,26,Kayleestad,0.6166451008515651,0
233,Seth Garrett,patrick16@example.org,2023-11-05,2024-02-12,29,West Michael,0.3591223653193989,0
234,Marcus Avery,patrick96@example.org,2023-10-11,2024-02-14,34,North Hollyfort,0.49248178426185796,0
235,Deborah Johnson,flutz@example.org,2022-06-22,2023-06-15,50,Johnton,0.04519077824275586,0
236,Douglas Bowers,cynthiasanchez@example.com,2023-04-29,2023-09-15,49,New Ross,0.4171245831854776,0
237,Shelly Smith,charles62@example.net,2023-10-18,2024-04-24,38,West Michaelfort,0.2947846006410605,1
238,Andrew Strong,pricechristopher@example.net,2022-10-08,2023-12-08,41,South Theodore,0.4177118445071054,0
239,Laura Simpson,tanyaolson@example.org,2023-05-08,2024-01-10,44,Stevenport,0.9796540348663415,0
240,John Holt,rushsteven@example.org,2024-01-15,2024-04-21,18,Jasonland,0.24780948958556204,0
241,Dean Webb,allisonthomas@example.net,2023-10-19,2024-04-20,28,Cuevasfurt,0.4498466321420548,0
242,Haley Valdez,bhudson@example.net,2023-02-27,2023-10-17,19,West Angela,0.824111064695541,1
243,Kyle Lee,cohenshannon@example.org,2023-12-06,2024-06-02,20,Christopherbury,0.4289890508264804,0
244,Ricardo Collier,djordan@example.org,2022-12-27,2023-09-23,30,New Johnnychester,0.7804790487044219,0
245,Michele Benjamin,maria17@example.org,2022-12-18,2023-11-11,36,South Emilychester,0.4825339355946521,0
246,Angela Williams,hancockcody@example.org,2022-09-02,2024-03-08,43,Brucebury,0.16761275550141763,1
247,Sharon Knox,leejose@example.org,2024-04-11,2023-06-26,34,Port Vanessamouth,0.2923967751782469,0
248,Nicholas Harris,mccarthysteven@example.net,2023-12-06,2023-12-06,69,Jasonview,0.5046303354374955,0
249,Cheryl Crawford,nixondonna@example.com,2023-11-13,2023-06-25,45,South Jill,0.8811562151564264,0
250,Kimberly Mayo,judycampos@example.org,2024-06-08,2023-12-29,25,Cindyfort,0.13695304228859428,0
251,Cindy Brandt,andersonrebecca@example.org,2022-06-24,2024-01-06,30,East Amberville,0.8552594321568192,0
252,Scott Patterson,pamela17@example.net,2024-03-27,2023-07-29,19,New Shelly,0.3697061379286014,0
253,Jack Sosa,katrinakirk@example.com,2023-11-18,2024-01-08,39,East Anna,0.08746711159205778,0
254,Heather Thomas,melissa86@example.net,2024-03-09,2023-12-09,37,Jordantown,0.2126440194660454,0
255,Michele Phillips,nicholsonmiguel@example.com,2022-09-30,2023-07-18,29,South Kennethland,0.35795632721860493,0
256,Lawrence West,michelle30@example.net,2023-05-09,2024-01-22,65,East Allison,0.1046057442526881,1
257,Juan Smith,ogomez@example.net,2023-11-25,2023-12-05,43,Lake Calvin,0.19491113062192789,0
